date,precipitation_mm
2020-07-23,1.8
2020-07-24,8.8
2020-07-25,0.3
2020-07-26,0.4
2020-07-27,0.2
2020-07-28,0.7
2020-07-29,0.8
2020-07-30,14.9
2020-07-31,0.0
2020-08-01,0.9
2020-08-02,1.6
2020-08-03,0.7
2020-08-04,0.4
2020-08-05,0.2
2020-08-06,0.7
2020-08-07,0.9
2020-08-08,14.7
2020-08-09,0.1
2020-08-10,0.6
2020-08-11,7.8
2020-08-12,7.2
2020-08-13,1.0
2020-08-14,5.9
2020-08-15,0.1
2020-08-16,2.4
2020-08-17,1.6
2020-08-18,5.1
2020-08-19,5.1
2020-08-20,8.4
2020-08-21,5.1
2020-08-22,1.6
2020-08-23,5.4
2020-08-24,2.1
2020-08-25,0.2
2020-08-26,7.0
2020-08-27,2.2
2020-08-28,1.6
2020-08-29,0.6
2020-08-30,0.3
2020-08-31,7.6
2020-09-01,1.0
2020-09-02,0.7
2020-09-03,1.2
2020-09-04,0.8
2020-09-05,1.8
2020-09-06,21.4
2020-09-07,6.5
2020-09-08,0.5
2020-09-09,3.6
2020-09-10,0.4
2020-09-11,1.0
2020-09-12,15.0
2020-09-13,3.2
2020-09-14,8.7
2020-09-15,2.0
2020-09-16,2.7
2020-09-17,1.8
2020-09-18,0.9
2020-09-19,3.3
2020-09-20,2.6
2020-09-21,4.9
2020-09-22,4.8
2020-09-23,10.9
2020-09-24,0.8
2020-09-25,6.6
2020-09-26,1.6
2020-09-27,2.5
2020-09-28,3.8
2020-09-29,1.6
2020-09-30,4.9
2020-10-01,3.0
2020-10-02,2.2
2020-10-03,3.2
2020-10-04,3.5
2020-10-05,1.7
2020-10-06,2.4
2020-10-07,1.2
2020-10-08,2.4
2020-10-09,8.4
2020-10-10,7.8
2020-10-11,0.1
2020-10-12,8.6
2020-10-13,8.9
2020-10-14,0.6
2020-10-15,1.3
2020-10-16,2.4
2020-10-17,3.6
2020-10-18,16.0
2020-10-19,13.6
2020-10-20,15.6
2020-10-21,0.7
2020-10-22,4.7
2020-10-23,2.6
2020-10-24,1.4
2020-10-25,22.5
2020-10-26,16.0
2020-10-27,18.2
2020-10-28,21.7
2020-10-29,34.4
2020-10-30,10.8
2020-10-31,1.2
2020-11-01,1.0
2020-11-02,2.8
2020-11-03,1.4
2020-11-04,2.8
2020-11-05,3.3
2020-11-06,12.2
2020-11-07,4.8
2020-11-08,1.7
2020-11-09,11.5
2020-11-10,6.8
2020-11-11,12.4
2020-11-12,5.4
2020-11-13,1.6
2020-11-14,16.5
2020-11-15,18.5
2020-11-16,18.1
2020-11-17,13.9
2020-11-18,6.0
2020-11-19,0.2
2020-11-20,1.1
2020-11-21,5.8
2020-11-22,5.6
2020-11-23,3.1
2020-11-24,2.1
2020-11-25,27.4
2020-11-26,1.0
2020-11-27,8.7
2020-11-28,13.5
2020-11-29,23.4
2020-11-30,1.9
2020-12-01,0.6
2020-12-02,0.0
2020-12-03,0.1
2020-12-04,7.6
2020-12-05,1.2
2020-12-06,1.8
2020-12-07,0.2
2020-12-08,6.4
2020-12-09,1.5
2020-12-10,4.0
2020-12-11,10.7
2020-12-12,0.9
2020-12-13,1.2
2020-12-14,0.2
2020-12-15,1.2
2020-12-16,0.0
2020-12-17,0.7
2020-12-18,6.9
2020-12-19,20.0
2020-12-20,5.5
2020-12-21,5.6
2020-12-22,3.6
2020-12-23,1.2
2020-12-24,2.1
2020-12-25,6.5
2020-12-26,3.3
2020-12-27,5.4
2020-12-28,0.0
2020-12-29,0.1
2020-12-30,0.6
2020-12-31,1.3
2021-01-01,6.6
2021-01-02,9.6
2021-01-03,1.1
2021-01-04,0.8
2021-01-05,0.6
2021-01-06,2.4
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,4.7
2021-01-10,2.1
2021-01-11,6.3
2021-01-12,0.1
2021-01-13,11.7
2021-01-14,2.3
2021-01-15,14.9
2021-01-16,7.8
2021-01-17,2.7
2021-01-18,1.6
2021-01-19,3.7
2021-01-20,2.4
2021-01-21,1.1
2021-01-22,0.2
2021-01-23,1.4
2021-01-24,3.3
2021-01-25,3.2
2021-01-26,7.0
2021-01-27,2.0
2021-01-28,0.4
2021-01-29,0.1
2021-01-30,6.4
2021-01-31,0.4
2021-02-01,0.1
2021-02-02,0.9
2021-02-03,0.6
2021-02-04,2.2
2021-02-05,3.1
2021-02-06,0.2
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,5.7
2021-02-11,11.6
2021-02-12,12.6
2021-02-13,6.0
2021-02-14,3.9
2021-02-15,0.4
2021-02-16,4.1
2021-02-17,0.2
2021-02-18,8.5
2021-02-19,0.2
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,8.5
2021-02-23,2.9
2021-02-24,0.5
2021-02-25,2.0
2021-02-26,0.2
2021-02-27,0.1
2021-02-28,1.3
2021-03-01,1.3
2021-03-02,1.4
2021-03-03,7.9
2021-03-04,12.2
2021-03-05,10.5
2021-03-06,11.3
2021-03-07,2.0
2021-03-08,11.9
2021-03-09,12.1
2021-03-10,1.8
2021-03-11,0.2
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,0.5
2021-03-15,2.0
2021-03-16,3.9
2021-03-17,6.8
2021-03-18,2.0
2021-03-19,1.6
2021-03-20,1.2
2021-03-21,4.7
2021-03-22,2.1
2021-03-23,1.2
2021-03-24,0.6
2021-03-25,0.5
2021-03-26,0.2
2021-03-27,0.6
2021-03-28,1.2
2021-03-29,0.3
2021-03-30,3.6
2021-03-31,3.3
2021-04-01,8.2
2021-04-02,6.4
2021-04-03,12.0
2021-04-04,6.1
2021-04-05,6.4
2021-04-06,14.5
2021-04-07,11.7
2021-04-08,17.7
2021-04-09,1.9
2021-04-10,2.4
2021-04-11,11.3
2021-04-12,12.0
2021-04-13,35.0
2021-04-14,5.8
2021-04-15,4.0
2021-04-16,1.5
2021-04-17,1.5
2021-04-18,0.6
2021-04-19,16.2
2021-04-20,16.3
2021-04-21,10.5
2021-04-22,18.8
2021-04-23,14.2
2021-04-24,14.7
2021-04-25,20.8
2021-04-26,0.4
2021-04-27,1.4
2021-04-28,7.5
2021-04-29,3.6
2021-04-30,4.6
2021-05-01,2.1
2021-05-02,4.7
2021-05-03,16.2
2021-05-04,3.2
2021-05-05,1.1
2021-05-06,6.0
2021-05-07,14.8
2021-05-08,8.9
2021-05-09,10.1
2021-05-10,8.1
2021-05-11,16.7
2021-05-12,10.5
2021-05-13,0.5
2021-05-14,17.7
2021-05-15,26.0
2021-05-16,0.8
2021-05-17,3.8
2021-05-18,3.8
2021-05-19,19.6
2021-05-20,4.8
2021-05-21,1.4
2021-05-22,0.9
